txn_date,Unnamed: 0,id,company_id,open,high,low,close,vol,month,day,day_of_month
1999-01-10,0,4323,94,58.0,58.4,58.0,58.1,0.0,1,6,10
1999-01-11,1,4324,94,58.9,58.9,58.0,58.3,0.0,1,0,11
1999-01-12,2,4325,94,58.6,58.7,58.4,58.5,0.0,1,1,12
1999-01-13,3,4326,94,58.6,58.7,58.5,58.6,0.0,1,2,13
1999-01-14,4,4327,94,58.5,59.5,58.1,58.8,0.0,1,3,14
1999-01-23,5,4328,94,59.0,59.0,58.6,58.7,0.0,1,5,23
1999-01-24,6,4329,94,59.0,59.5,58.6,58.9,0.0,1,6,24
1999-01-25,7,4330,94,58.4,58.7,58.0,58.4,0.0,1,0,25
1999-01-27,8,4331,94,59.0,60.4,59.0,59.4,16000.0,1,2,27
1999-01-28,9,4332,94,58.5,59.0,58.5,58.6,4100.0,1,3,28
1999-01-30,10,4333,94,58.6,58.7,58.5,58.5,2400.0,1,5,30
1999-01-31,11,4334,94,58.0,58.8,58.0,58.4,3200.0,1,6,31
1999-02-01,12,4335,94,58.5,58.5,58.0,58.2,3700.0,2,0,1
1999-02-02,13,4336,94,58.0,58.2,58.2,58.2,700.0,2,1,2
1999-02-03,14,4337,94,57.8,58.0,57.6,57.7,1700.0,2,2,3
1999-02-04,15,4338,94,57.6,58.0,57.1,57.4,5200.0,2,3,4
1999-02-06,16,4339,94,57.0,57.1,56.5,56.9,1600.0,2,5,6
1999-02-07,17,4340,94,56.5,56.6,56.0,56.3,1500.0,2,6,7
1999-02-08,18,4341,94,59.0,59.0,55.3,56.3,1900.0,2,0,8
1999-02-13,19,4342,94,56.3,57.0,56.3,56.8,400.0,2,5,13
1999-02-14,20,4343,94,57.1,57.3,56.5,57.0,1600.0,2,6,14
1999-02-15,21,4344,94,56.5,57.0,56.0,56.4,1700.0,2,0,15
1999-02-16,22,4345,94,56.0,57.0,56.0,56.5,1200.0,2,1,16
1999-02-17,23,4346,94,57.0,58.5,56.8,57.0,5900.0,2,2,17
1999-02-18,24,4347,94,56.5,57.0,56.2,56.6,1000.0,2,3,18
1999-02-20,25,4348,94,56.5,56.5,56.5,56.5,100.0,2,5,20
1999-02-22,26,4349,94,56.5,57.7,56.5,57.4,2600.0,2,0,22
1999-02-27,27,4350,94,57.7,58.7,57.7,58.2,6900.0,2,5,27
1999-02-28,28,4351,94,58.0,58.3,58.0,58.1,5800.0,2,6,28
1999-03-01,29,4352,94,59.0,61.0,59.0,59.1,14200.0,3,0,1
1999-03-02,30,4353,94,59.0,59.9,58.6,59.0,3100.0,3,1,2
1999-03-03,31,4354,94,59.0,59.0,57.7,58.2,1500.0,3,2,3
1999-03-04,32,4355,94,57.0,58.1,57.0,57.7,1500.0,3,3,4
1999-03-06,33,4356,94,57.5,58.3,57.1,57.4,5300.0,3,5,6
1999-03-07,34,4357,94,57.0,57.1,56.6,56.8,2900.0,3,6,7
1999-03-08,35,4358,94,56.5,56.6,56.3,56.5,1700.0,3,0,8
1999-03-09,36,4359,94,56.5,56.6,56.2,56.3,2600.0,3,1,9
1999-03-10,37,4360,94,56.3,56.4,56.0,56.2,1000.0,3,2,10
